"CreatedAt","BaseUrl","Source","Medium","Campaign","Content","FinalUrl"
"2026-05-16 14:37:13","https://josephsigma991.github.io/","linkedin","profile","portfolio_profile","profile_button","https://josephsigma991.github.io/?utm_source=linkedin&utm_medium=profile&utm_campaign=portfolio_profile&utm_content=profile_button"
"2026-05-16 14:37:13","https://josephsigma991.github.io/#work","linkedin","social","post05_pre_meeting_readiness","first_comment","https://josephsigma991.github.io/?utm_source=linkedin&utm_medium=social&utm_campaign=post05_pre_meeting_readiness&utm_content=first_comment#work"
